N° OFS;Nom;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
6601;Aire-la-Ville;479;507;533;575;644;686;679;665;668;685;741;711;713;710;736;727;836;909;1095;1122;1138;1161;1142;1119
6602;Anières;1482;1510;1591;1657;1667;1699;1672;1697;1823;1855;1959;1991;2249;2335;2354;2344;2365;2422;2412;2526;2523;2537;2493;2544
6603;Avully;1846;1805;1782;1772;1744;1720;1771;1754;1747;1731;1742;1737;1753;1746;1752;1772;1792;1740;1752;1769;1778;1756;1760;1771
6604;Avusy;934;923;985;1010;1075;1099;1124;1125;1148;1136;1166;1176;1196;1192;1241;1268;1253;1303;1305;1375;1374;1388;1430;1453
6605;Bardonnex;1739;1688;1721;1826;1855;1899;1947;1987;2052;2042;2074;2097;2100;2124;2106;2141;2143;2108;2130;2158;2187;2221;2207;2232
6606;Bellevue;1565;1558;1593;1630;1646;1714;1738;1756;1737;1725;1742;1770;1874;2312;2677;2738;2783;2892;2918;3135;3143;3216;3169;3220
6607;Bernex;8736;8812;8817;8704;8813;8676;8495;8545;8401;8428;8622;8709;8865;9062;9232;9281;9379;9439;9463;9566;9684;9761;9766;9798
6608;Carouge;14686;15023;15702;16034;16360;16514;16742;16769;16613;16769;16892;17425;17965;18144;18479;18777;18987;19155;19114;19525;19745;19904;20210;20701
6609;Cartigny;612;671;673;699;717;743;753;769;739;743;742;762;799;814;836;795;834;817;808;812;832;853;884;872
6610;Céligny;698;677;680;665;673;667;661;676;652;641;628;624;637;638;641;655;660;640;630;645;670;667;659;632
6611;Chancy;636;660;714;733;783;810;833;825;847;844;881;915;907;887;911;917;924;1023;1084;1115;1115;1147;1137;1139
6612;Chêne-Bougeries;9232;9313;9467;9526;9483;9526;9630;9538;9539;9558;9632;9739;9764;9846;9943;10091;10144;10189;10148;10293;10288;10452;10380;10608
6613;Chêne-Bourg;6319;6317;6340;6355;6386;6429;6499;6480;6522;6813;6978;7232;7486;7680;7716;7696;7808;7835;7886;7900;7999;8100;8104;8155
6614;Choulex;800;825;837;828;891;903;930;971;947;966;972;948;964;976;961;967;965;965;1007;997;999;1023;1067;1087
6615;Collex-Bossy;963;988;999;1037;1062;1065;1065;1139;1199;1191;1249;1295;1324;1333;1406;1477;1576;1560;1583;1626;1616;1676;1683;1660
6616;Collonge-Bellerive;4968;4995;5071;5189;5211;5290;5421;5561;5755;5855;6074;6336;6514;6603;6832;6964;7010;7187;7346;7438;7480;7611;7507;7517
6617;Cologny;3929;3966;4010;4275;4429;4489;4532;4636;4593;4568;4684;4748;4840;4950;4974;4899;4919;4886;4936;4892;4838;4871;4973;4898
6618;Confignon;2557;2585;2591;2676;2699;2699;2813;2853;2867;2911;2980;3008;3060;3415;3412;3327;3469;3759;4016;4054;4113;4176;4309;4326
6619;Corsier;1547;1558;1564;1540;1583;1571;1565;1607;1645;1674;1711;1699;1689;1710;1732;1704;1713;1741;1729;1762;1770;1804;1867;1922
6620;Dardagny;1036;1073;1183;1204;1240;1237;1265;1288;1281;1287;1269;1296;1298;1287;1316;1284;1325;1292;1297;1325;1335;1472;1520;1515
6621;Genève;169634;171300;171411;172486;174334;175630;176372;174859;174653;175210;176435;177692;180658;182560;184758;185526;185028;185893;185726;188068;189313;191360;191964;193150
6622;Genthod;1886;2010;2042;2124;2124;2131;2100;2046;2081;2079;2200;2211;2272;2288;2393;2507;2635;2672;2709;2753;2741;2762;2777;2709
6623;Grand-Saconnex;6678;6679;6765;6668;6780;6942;7134;7558;7780;7846;8095;8348;8507;8571;8648;9025;9879;10402;10607;10785;11140;11668;11866;11911
6624;Gy;241;249;274;287;290;295;341;352;364;380;383;367;374;386;405;393;394;401;413;411;418;445;483;478
6625;Hermance;684;681;712;737;749;780;764;742;784;788;798;818;812;839;854;889;902;900;901;908;914;934;943;974
6626;Jussy;907;920;925;952;1010;1034;1060;1067;1090;1080;1109;1114;1187;1171;1199;1202;1204;1243;1278;1265;1223;1213;1186;1207
6627;Laconnex;480;492;495;500;501;514;504;510;518;538;544;534;536;545;541;564;597;617;628;630;627;608;619;613
6628;Lancy;23400;23219;23296;23298;23362;24272;25100;25247;25240;25568;25528;25620;25965;26255;26788;27010;27111;27492;27548;27889;28185;28766;28820;29146
6629;Meinier;1581;1581;1579;1612;1631;1659;1637;1671;1657;1699;1674;1693;1692;1698;1758;1752;1752;1810;1787;1796;1812;1904;1882;2024
6630;Meyrin;20240;20058;19829;19618;20063;20175;20130;20005;19788;19733;19669;19655;20175;20307;20491;20615;20642;20670;20793;21021;21442;21671;22077;22221
6631;Onex;16136;15883;15767;15717;15590;15800;16099;16122;16045;16163;16300;16479;16602;16752;17170;17447;17357;17380;17328;17348;17421;17714;17674;17943
6632;Perly-Certoux;2554;2538;2534;2651;2640;2617;2654;2617;2574;2626;2768;2775;2731;2759;2786;2769;2759;2832;2851;2821;2874;2899;2962;3004
6633;Plan-les-Ouates;4974;5018;5037;5112;5144;5372;5576;5777;5872;5959;6190;6803;7245;7482;7829;8631;8841;9015;9605;9800;9820;10008;10245;10309
6634;Pregny-Chambésy;2623;2629;2683;2710;2750;2795;2921;2947;2998;3019;3084;3100;3046;3301;3456;3466;3536;3545;3588;3602;3753;3679;3660;3626
6635;Presinge;488;506;500;515;521;576;585;589;580;545;553;546;654;641;627;609;615;630;672;681;659;660;683;675
6636;Puplinge;2125;2126;2124;2070;2064;2072;2103;2124;2111;2063;2058;2054;2108;2133;2148;2153;2125;2107;2083;2076;2065;2030;2054;2037
6637;Russin;375;367;381;375;378;378;375;363;371;385;405;404;386;400;410;402;398;405;395;397;464;474;482;490
6638;Satigny;2268;2260;2212;2270;2413;2494;2483;2498;2532;2579;2710;2773;2800;2805;2855;2904;3023;3060;3083;3212;3317;3630;3811;3914
6639;Soral;495;531;549;549;578;585;564;606;606;608;592;597;626;647;633;657;668;665;672;688;715;737;739;725
6640;Thônex;9734;10273;10757;10924;11027;11056;11140;11228;11097;10986;11834;12452;12933;13020;13090;13226;13231;13229;13251;13395;13471;13613;13564;13722
6641;Troinex;1373;1421;1443;1443;1425;1412;1398;1590;1794;1859;1934;1988;2091;2071;2161;2159;2157;2145;2154;2183;2177;2180;2250;2251
6642;Vandœuvres;1882;1922;1936;1880;1903;1893;1939;1971;2022;2088;2207;2334;2400;2432;2555;2578;2613;2601;2670;2660;2642;2674;2676;2573
6643;Vernier;28382;28352;28232;27955;28051;28632;28702;29227;28921;28891;29117;29241;30215;30519;31020;31096;31130;31824;32038;32515;33004;33335;33855;34322
6644;Versoix;8787;8927;9017;9266;9326;9418;9527;9955;10128;10270;10546;10826;11005;11128;11324;11635;11920;12217;12468;12749;13022;13140;13092;13019
6645;Veyrier;7120;7147;7304;7345;7561;7641;7738;8087;8479;8638;8879;8943;9148;9231;9317;9444;9580;9689;9677;9751;9782;10019;10287;10300
9025;Canton;379811;382543;384657;386999;391176;395609;399081;400399;400860;403022;408350;413585;422165;427705;434473;438483;440982;445306;447584;453439;457628;463919;466918;470512
